"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.1271,0.16847,0,-0.092477,1,0.0259,0.0259,0.05,0.005
-0.12761,0.16811,0,-0.092221,1,0.026,0.026,0.05,0.005
-0.12812,0.16775,0,-0.091965,1,0.0261,0.0261,0.05,0.005
-0.12863,0.16739,0,-0.091709,1,0.0262,0.0262,0.05,0.005
-0.12914,0.16704,0,-0.091452,1,0.0263,0.0263,0.05,0.005
-0.12965,0.16668,0,-0.091196,1,0.0264,0.0264,0.05,0.005
-0.13017,0.16632,0,-0.09094,1,0.0265,0.0265,0.05,0.005
-0.13068,0.16596,0,-0.090684,1,0.0266,0.0266,0.05,0.005
-0.13119,0.1656,0,-0.090428,1,0.0267,0.0267,0.05,0.005
-0.1317,0.16525,0,-0.090171,1,0.0268,0.0268,0.05,0.005
-0.13221,0.16489,0,-0.089915,1,0.0269,0.0269,0.05,0.005
-0.13272,0.16453,0,-0.089659,1,0.027,0.027,0.05,0.005
-0.13323,0.16417,0,-0.089403,1,0.0271,0.0271,0.05,0.005
-0.13374,0.16381,0,-0.089147,1,0.0272,0.0272,0.05,0.005
-0.13425,0.16345,0,-0.088891,1,0.0273,0.0273,0.05,0.005
-0.13477,0.1631,0,-0.088634,1,0.0274,0.0274,0.05,0.005
-0.13528,0.16274,0,-0.088378,1,0.0275,0.0275,0.05,0.005
-0.13579,0.16238,0,-0.088122,1,0.0276,0.0276,0.05,0.005
-0.1363,0.16202,0,-0.087866,1,0.0277,0.0277,0.05,0.005
-0.13681,0.16166,0,-0.08761,1,0.0278,0.0278,0.05,0.005
-0.13732,0.16131,0,-0.087353,1,0.0279,0.0279,0.05,0.005
-0.13783,0.16095,0,-0.087097,1,0.028,0.028,0.05,0.005
-0.13834,0.16059,0,-0.086841,1,0.0281,0.0281,0.05,0.005
-0.13886,0.16023,0,-0.086585,1,0.0282,0.0282,0.05,0.005
-0.13937,0.15987,0,-0.086329,1,0.0283,0.0283,0.05,0.005
-0.13988,0.15952,0,-0.086072,1,0.0284,0.0284,0.05,0.005
-0.14039,0.15916,0,-0.085816,1,0.0285,0.0285,0.05,0.005
